|name        |gcn_name  |time                   |ra      |dec     |error_radius|redshift|        t90|        t90_error|        fluence|        fluence_error|
|GRB180718763|GRB180718B|2018-07-18 18:18:24.002|227.1050|-62.1772|      0.9500|        |     98.306|          4.89100|    1.49000e-05|          4.95580e-08|
|GRB180703949|GRB180703B|2018-07-03 22:46:51.001|237.9491|-17.8795|      0.4400|        |      1.536|          0.09100|    8.84880e-06|          1.81590e-08|
|GRB120830297|GRB120830A|2012-08-30 07:07:03.000|234.1716|-24.3213|      0.6200|        |      0.896|          0.23100|    3.06930e-06|          2.71880e-08|
|GRB201208252|GRB201208A|2020-12-08 06:03:22.997|269.6870| 25.0223|      0.1300|        |     44.801|          5.97100|    6.68530e-06|          6.20480e-08|
|GRB110731465|GRB110731A|2011-07-31 11:09:29.002|  6.0874|-10.6834|      0.2400| 2.83000|      7.485|          0.57200|    2.28920e-05|          5.70350e-08|
|GRB160709826|GRB160709A|2016-07-09 19:49:03.003|342.9675| 20.6085|      0.2700|        |      5.440|          0.45300|    2.28170e-06|          1.13370e-08|
|GRB190114873|GRB190114C|2019-01-14 20:57:03.001|222.6626|-52.9704|      0.3000| 0.42000|    116.354|          2.56300|    4.43250e-04|          4.99260e-07|
|GRB110921912|GRB110921B|2011-09-21 21:52:44.996| 36.1869|-83.6533|      0.3900|        |     17.664|          0.34500|    3.63110e-05|          7.89660e-08|
|GRB121029350|GRB121029A|2012-10-29 08:24:18.999|339.5973| 26.8127|      0.2100|        |     15.808|          0.57200|    7.81460e-06|          5.80050e-08|
|GRB170405777|GRB170405A|2017-04-05 18:39:22.003|331.4952| 31.6646|      0.5500| 3.51000|     78.593|          0.57200|    7.39630e-05|          6.61540e-08|
|GRB200415367|GRB200415A|2020-04-15 08:48:04.997| 85.6272|-87.3384|      0.5600|        |      0.144|          0.03600|    5.01360e-06|          1.61540e-08|
|GRB121123442|GRB121123B|2012-11-23 10:35:55.000|204.2500|-75.4696|      0.5000|        |     42.497|          1.99900|    1.42320e-05|          1.03120e-07|
|GRB150513856|GRB150513A|2015-05-13 20:33:14.999|213.7245|-57.0385|      0.0400|        |    158.978|          2.86200|    7.54260e-06|          8.50530e-08|
|GRB220228438|GRB220228A|2022-02-28 10:30:05.003| 23.1127|-34.5580|      0.6700|        |     12.032|          2.41500|    8.93810e-07|          3.13420e-08|
|GRB130606497|GRB130606B|2013-06-06 11:55:32.998|332.2298| 34.8045|      0.1100|        |     52.225|          0.72400|    2.00870e-04|          2.04520e-07|
|GRB181028590|GRB181028A|2018-10-28 14:09:41.996|227.3435|-21.6821|      0.3060|        |     29.697|          0.81000|    3.11370e-05|          7.30490e-08|
|GRB131014215|GRB131014A|2013-10-14 05:08:59.997|230.7301|-11.0592|      0.8100|        |      3.200|          0.09100|    1.97930e-04|          1.50130e-07|
|GRB190511302|GRB190511A|2019-05-11 07:14:24.003|241.9680| 10.1044|      0.1730|        |     27.648|          1.14500|    2.09980e-05|          8.39110e-08|
|GRB130325203|GRB130325A|2013-03-25 04:51:53.997|239.3172|  8.0184|      0.1800|        |      6.912|          0.72400|    7.43680e-06|          2.93600e-08|
|GRB210928084|GRB210928A|2021-09-28 02:00:30.997|357.6673| 21.6837|      0.1200|        |     23.808|          0.36200|    4.63630e-05|          4.99330e-08|
